Name,age,xwOBA_Adjustment,ProjectedFP
Aaron Judge,33.9,-0.02999999999999998,712.2426142651303
Jose Ramirez,33.5,-3.389999999999995,665.1231416697426
Trea Turner,32.8,-4.349999999999995,572.2116973901217
Freddie Freeman,36.6,-1.5600000000000014,527.1677568491721
Bryce Harper,33.5,-0.5100000000000006,478.6342952752875
Jose Altuve,35.9,-4.290000000000001,439.9475109596787
Yandy Diaz,34.6,-0.5100000000000005,430.2218497509422
Trevor Story,33.4,-4.3500000000000005,411.6575679391058
Christian Yelich,34.3,-2.2500000000000018,405.84412967637036
Byron Buxton,32.3,-2.1900000000000017,384.38250119379654
Teoscar Hernandez,33.5,-0.06000000000000016,335.0318674480509
Eugenio Suarez,34.7,-2.5499999999999976,330.9328349494091
Nolan Arenado,35.0,-0.7200000000000006,295.0093200345774
Jeff McNeil,34.0,-0.12000000000000012,242.92271097766212
Jurickson Profar,33.1,-1.8299999999999965,225.78601999198293
Mike Yastrzemski,35.6,-0.18000000000000022,185.64066409899436
Rob Refsnyder,35.0,-3.749999999999995,126.7751402887366
Jose Iglesias,36.2,-1.5899999999999985,111.78202229663574
Kyle Higashioka,35.9,-1.4400000000000013,109.53296118645534
Giancarlo Stanton,36.4,-2.2500000000000053,96.0039967301678
